created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Oct 24 23:36:15 +0000 2023,1716961833146515859,@alisyarief @jokowi Prabowo-Gibran sepertinya akan kalah.,0,0,0,1,in,1655122592213381120,1716942385010364721,LebahBorneoR,https://twitter.com/LebahBorneoR/status/1716961833146515859
Tue Oct 24 23:36:00 +0000 2023,1716961773201641931,Ini lho pertimbangan @psi_id dukung Prabowo - Gibran @prabowo @gibran_tweet Mau tahu alasannya? Yuk simak!  https://t.co/TSVAfXCs81  #PrabowoGibran2024 #prabowogibran #prabowo #gibran #jokowi #PSI,0,1,0,1,in,1478569118869590017,1716961773201641931,andywartawan,https://twitter.com/andywartawan/status/1716961773201641931
Tue Oct 24 23:35:35 +0000 2023,1716961664527110191,Ini Rekayasa Lalin Sekitar GBK dan KPU Saat Prabowo-Gibran Daftar Pilpres - detikNews https://t.co/lVOmpLKL4f #Jokowinomics #MenataMasaDepan #BersamaPrabowo,0,0,8,0,in,1068101963059879936,1716961664527110191,AdrianaDaneen,https://twitter.com/AdrianaDaneen/status/1716961664527110191
Tue Oct 24 23:35:32 +0000 2023,1716961654171447759,@Projo_Pusat @jokowi @prabowo @gibran_tweet @KPU_ID @RcyberProj0 Setia di garis rakyat atau setia di garis dinasti.....? hihihihihi,0,0,0,0,in,2606542610,1716844092808986748,GSiwalette,https://twitter.com/GSiwalette/status/1716961654171447759
Tue Oct 24 23:35:24 +0000 2023,1716961618486325311,"Prabowo-Gibran, Capres-Cawapres yang Dipaksakan https://t.co/pjMLGtBwak",1,1,3,6,in,1226436091617505281,1716961618486325311,keuangannews_id,https://twitter.com/keuangannews_id/status/1716961618486325311
Tue Oct 24 23:35:21 +0000 2023,1716961608684257690,@Projo_Pusat @jokowi @prabowo @gibran_tweet @KPU_ID @RcyberProj0 Protoli jokowi 😄😄,0,0,0,0,in,1603664383586226179,1716844092808986748,TukangMancing01,https://twitter.com/TukangMancing01/status/1716961608684257690
Tue Oct 24 23:35:08 +0000 2023,1716961554258936320,@daffiriffi @jehidayat3 @ajengcute16__ @prabowo @gibran_tweet @SBYudhoyono 🤫🤫,0,0,0,2,qme,1599725937930559489,1716395937323725273,tatatheawae,https://twitter.com/tatatheawae/status/1716961554258936320
Tue Oct 24 23:34:31 +0000 2023,1716961398302150945,@prabowo &amp  @gibran_tweet untuk Indonesia Maju 🇲🇨✊️🌹,0,0,0,0,in,964757533641523200,1716961398302150945,psi_kotajogja,https://twitter.com/psi_kotajogja/status/1716961398302150945
Tue Oct 24 23:34:24 +0000 2023,1716961367834685674,@habiburokhman @prabowo @gibran_tweet Itu duit dr mana PSI ?,0,0,0,0,in,1203098760722542592,1716956698773225569,akundihackmulu,https://twitter.com/akundihackmulu/status/1716961367834685674
Tue Oct 24 23:34:10 +0000 2023,1716961309441568866,"06.33: Kondisi terkini di depan KPU Pusat sudah dilakukan pengamanan jelang pendaftaran pasangan calon Prabowo-Gibran, lalu lintas mulai tersendat. (P. Donny) #InfoLalinElshinta https://t.co/zm2NWoade2",1,2,6,13,in,121640063,1716961309441568866,RadioElshinta,https://twitter.com/RadioElshinta/status/1716961309441568866
